page,year
1,96
52,96
73,180
90,193
110,208
145,235
169,165
186,248
245,268
274,275
303,285
341,305
382,180
505,300
560,324
598,351
634,306
670,438
726,360
756,351
796,363
797,314
840,390
841,343
898,384
899,365
956,395
957,340
1001,397
1002,378
1026,420
1027,386
1046,398
1047,395
1086,408
1149,449
1150,395
1180,1453
1181,423
1199,476
1225,419
1254,455
1255,439
1302,490
1303,305
1338,712
1339,449
1399,582
1400,455
1429,526
1430,482
1483,565
1484,522
1541,620
1542,500
1582,582
1583,531
1623,594
1624,527
1684,565
1685,565
1715,570
1760,642
1761,412
1820,1632
1821,641
1879,1185
1880,726
1935,1377
1936,569
2009,680
2010,632
2087,728
2088,668
2137,1055
2138,733
2177,988
2178,660
2191,1200
2192,640
2220,1100
2221,840
2266,1204
2267,980
2293,1152
2294,1095
2345,1369
2346,1091
2380,1517
2381,697
2417,1204
2418,1020
2451,1204
2477,1456
2478,1282
2499,1391
2500,1206
2529,1425
2530,1361
2562,1451
2563,1339
2602,1500
2603,1421
2624,1451
2662,1481
2663,800
2698,1500
2699,1304
2736,1590
2737,1332
2759,1430
