title,author,date,pages,url
Histoire,Hérodote,-420,650,
La guerre du Péloponnèse,Thucydide,-400,670,
L'Anabase,Xénophon,-250,400,
Histoires,Polybe,-150,1200,
Histoires,Tacite,-100,400,
La guerre des Gaules,Jules César,-50,500,
Les Vies des Hommes Illustres,Plutarque,100,2000,
Le Livre de Babur,Babur,1530,450,
Mémoires,Saint Simon,1750,3000,
The Decline and Fall of the Roman Empire,Edward Gibbon,1788,2800,
Römische Geschichte,Theodor Mommsen,1856,3000,
Histoire de la Révolution Française,Jules Michelet,1867,3000,
La Méditerranée à l'époque de Philippe II,Fernand Braudel,1949,1300,
Histoire de la Civilisation Française,Georges Duby,1964,400,
La Chine antique,Henri Maspero,1965,500,
