swann,57998,59979, Scène de Montjouvain
alodjff,7990,19599,Dîner de Norpois chez le Narrateur
seg,12490,49047,Soirée chez la Princesse de Guermantes
seg,0,4810,Parade nuptiale de Charlus et Jupien
seg,58865,1235153,Second séjour à Balbec
seg,104109,143917,Dîner Verdurin à la Raspelière
lp,68286,71400, Mort de Bergotte
lp,75532,124769,Soirée Verdurin au Quai Conti
lp,125816,134804, Scène avec Albertine
lf,22877,27157, Mort d'Albertine
lf,83731,94454,Séjour à Venise
ltr,40066,49407,Séance masochiste de Charlus
ltr,53793,56773,Mort de Saint Loup
ltr,56773,122392,Matinée chez la princesse de Guermantes
ltr,61277,80628,Pavé inégal
