hd,ra,dec,flamsteed,bayer,const,propername,mag
143513,240.0042,22.9961,,,,,7.81
143395,240.0090,0.6236,,,,,7.2
143457,240.0258,8.6186,,,,,9.38
143469,240.0599,6.8136,,,,,8.46
143515,240.0616,17.1793,,,,,8.37
143480,240.0668,11.6716,,,,,8.82
143436,240.0785,0.1370,,,,,8.05
143551,240.0982,15.6674,,,,,7.92
143498,240.1119,8.0111,,,,,9.02
143499,240.1388,4.7270,,,,,8.35
143587,240.2056,13.5599,,,,,8.59
143553,240.2131,4.4274,,,,,5.82
143588,240.2149,12.4767,,,,,8.1
143597,240.2257,13.2716,,,,,7.05
143705,240.2367,28.9485,,,,,7.97
143688,240.2592,24.4503,,,,,8.81
143707,240.2663,26.1724,,,,,7.9
143706,240.2756,28.1292,,,,,10.95
143743,240.2805,27.1439,,,,,8.27
143645,240.3435,9.2760,,,,,8.89
143808,240.3691,26.4046,,,,,8.37
143631,240.3693,2.0643,,,,,8.25
143630,240.3757,2.3261,,,,,9.67
143708,240.4049,12.0508,,,,,8.28
143762,240.4692,13.4725,,,,,7.51
143709,240.4758,3.8083,,,,,8.42
143875,240.5259,20.8848,,,,,8.6
143778,240.5399,7.2249,,,,,8.82
143809,240.5934,3.6520,,,,,8.78
143919,240.6120,19.6301,,,,,8.05
143936,240.6556,18.1140,,,,,7.54
143896,240.6558,8.8469,,,,,8.11
144004,240.6601,26.6121,,,,,7.67
143991,240.6858,22.8059,,,,,7.64
143992,240.6926,22.2385,,,,,7.03
144063,240.7348,28.9555,,,,,8.44
143898,240.7382,1.6984,,,,,8.03
143972,240.7428,12.1692,,,,,8.75
143993,240.7591,13.9914,,,,,7.95
144045,240.7694,21.8797,,,,,8.78
144111,240.8019,28.8518,,,,,9.0
144084,240.8390,20.2236,,,,,8.53
144064,240.9150,11.4336,,,,,7.13
144149,240.9576,17.8028,,,,,6.75
144085,240.9604,8.2298,,,,,7.86
144065,240.9703,3.7272,,,,,8.16
144130,241.0089,9.9947,,,,,8.53
144287,241.0156,25.2548,,,,,7.1
144150,241.0344,10.0063,,,,,8.02
144151,241.0424,6.0531,,,,,7.88
144169,241.0470,8.1376,,,,,7.68
144132,241.0530,2.7804,,,,,8.74
144170,241.0661,7.3742,,,,,8.18
144171,241.0818,6.0113,,,,,7.14
144172,241.1233,0.6722,,,,,6.81
144238,241.1306,7.6569,,,,,8.36
144304,241.2057,9.6450,,,,,7.78
144361,241.2258,16.0217,,,,,8.65
144346,241.2374,13.1359,,,,,8.52
144329,241.2450,10.9483,,,,,8.31
144331,241.2872,3.0576,,,,,8.45
144447,241.3111,22.1820,,,,,8.6
144489,241.3960,15.2575,,,,,8.68
144426,241.4081,8.0962,,,,,6.27
144544,241.4079,21.8929,,,,,7.23
144408,241.4234,5.1863,,,,,9.21
144516,241.4678,9.9360,,,,,6.93
144515,241.4725,10.6850,,,,,8.31
144601,241.5026,20.3502,,,,,9.04
144563,241.5052,13.3292,,,,,8.0
144564,241.5118,13.3209,,,,,6.8
144517,241.5607,1.7110,,,,,7.41
144582,241.5963,5.4127,,,,,7.39
144603,241.6003,9.2853,,,,,9.16
144581,241.6078,6.1942,,,,,9.67
144779,241.6083,29.9046,,,,,7.65
144724,241.7102,16.3524,,,,,7.85
144683,241.7166,7.6413,,,,,8.99
144802,241.7829,16.8938,,,,,8.6
144782,241.8236,9.9313,,,,,10.13
144781,241.8340,10.6728,,,,,8.98
144889,241.8424,21.8226,,,,,6.15
144839,241.8570,13.3365,,,,,7.32
144921,241.8636,24.9083,,,,,8.34
144762,241.8741,3.4092,,,,,8.02
144999,241.9094,28.9954,,,,,7.74
144957,241.9331,20.3744,,,,,8.66
144904,241.9387,15.7103,,,,,7.76
144922,241.9402,16.7346,,,,,8.11
144905,241.9544,12.3735,,,,,7.29
144935,241.9798,14.4229,,,,,8.52
144959,242.1313,0.5912,,,,,9.12
145050,242.1521,8.6132,,,,,6.47
145146,242.1641,22.2038,,,,,8.92
145051,242.1699,5.4058,,,,,7.65
145163,242.1768,21.0588,,,,,8.7
145070,242.1971,6.6461,,,,,8.11
