hd,ra,dec,flamsteed,bayer,const,propername,mag
163636,270.0196,-53.0985,,,,,7.41
163502,270.0606,-59.8056,,,,,9.05
163900,270.0628,-37.4082,,,,,7.18
163761,270.0674,-47.5538,,,,,6.7
163874,270.0769,-39.2496,,,,,7.27
163729,270.0895,-49.9169,,,,,7.64
163563,270.0909,-58.7615,,,,,9.26
163941,270.1210,-38.7311,,,,,7.76
163985,270.1227,-35.7469,,,,,9.02
163693,270.1271,-54.3577,,,,,8.48
163940,270.1309,-38.3573,,,,,7.8
321021,270.1364,-33.9155,,,,,8.88
163656,270.1467,-56.3518,,,,,9.06
164004,270.1633,-36.9667,,,,,7.93
316895,270.1712,-30.2150,,,,,9.68
163329,270.1831,-66.7750,,,,,9.04
163959,270.1854,-42.0122,,,,,8.41
164034,270.1918,-34.7076,,,,,8.69
164022,270.2013,-37.4976,,,,,9.06
163564,270.2378,-62.3235,,,,,8.53
163670,270.2405,-58.4589,,,,,7.96
163835,270.2417,-51.4188,,,,,9.21
321070,270.2465,-35.6384,,,,,9.55
163585,270.2579,-62.5079,,,,,8.01
164036,270.2625,-39.1058,,,,,9.23
163281,270.2752,-69.2336,,,,,8.13
164107,270.2787,-33.0543,,,,,9.58
164050,270.2971,-40.3355,,,,,7.78
164108,270.2994,-35.3291,,,,,8.74
163637,270.3109,-61.3662,,,,,9.14
163671,270.3158,-60.7829,,,,,8.94
164200,270.3467,-31.7484,,,,,8.38
163822,270.3584,-55.9743,,,,,7.7
324758,270.3729,-40.2148,,,,,10.08
163905,270.3819,-54.1055,,,,,8.74
164129,270.3826,-38.0822,,,,,6.91
318786,270.3966,-30.8120,,,,,10.83
164052,270.4057,-46.3090,,,,,9.39
163749,270.4154,-59.9303,,,,,8.79
164270,270.4298,-32.7153,,,,,8.76
163544,270.4350,-66.4645,,,,,8.41
164155,270.4509,-41.4051,,,,,9.28
164245,270.4512,-36.3779,,,,,6.3
164296,270.4803,-34.1362,,,,,9.45
324773,270.4850,-40.9817,,,,,10.05
164320,270.5218,-35.6694,,,,,7.57
164176,270.5285,-44.4407,,,,,8.64
163785,270.5305,-62.4477,,,,,8.74
164321,270.5411,-36.3592,,,,,7.42
164297,270.5415,-38.4796,,,,,9.02
164039,270.5484,-52.9571,,,,,7.96
164298,270.5627,-38.6377,,,,,8.69
164272,270.5646,-41.4142,,,,,9.01
164207,270.5940,-46.9935,,,,,8.4
163878,270.5950,-60.1373,,,,,6.94
164418,270.6048,-31.4898,,,,,9.28
164300,270.6095,-42.9048,,,,,7.51
164389,270.6227,-36.3635,,,,,9.22
164390,270.6304,-36.6765,,,,,8.94
164340,270.6373,-40.0879,,,,,9.3
164131,270.6511,-52.5640,,,,,9.14
164011,270.6531,-58.3719,,,,,9.0
164455,270.6788,-33.8892,,,,,7.43
164132,270.6857,-53.7022,,,,,7.6
164324,270.6931,-46.0223,,,,,9.43
163696,270.7256,-67.8521,,,,,7.74
164409,270.7608,-43.4628,,,,,7.41
164249,270.7642,-51.6490,,,,,7.01
164054,270.7649,-58.9909,,,,,9.24
164112,270.7782,-57.3314,,,,,8.77
164161,270.7937,-56.1251,,,,,8.81
164092,270.8014,-58.9355,,,,,9.01
164519,270.8021,-36.5479,,,,,8.71
164608,270.8233,-31.1986,,,,,8.91
164040,270.8471,-62.1337,,,,,8.0
163927,270.8481,-65.0945,,,,,8.36
164024,270.8804,-63.0410,,,,,8.89
163880,270.8907,-66.5384,,,,,6.89
164210,270.9035,-58.3029,,,,,8.37
164545,270.9121,-42.8762,,,,,9.86
164589,270.9122,-39.4053,,,,,8.03
164500,270.9226,-45.8621,,,,,9.63
164546,270.9819,-45.1786,,,,,7.81
164441,271.0275,-52.8552,,,,,8.31
164567,271.0372,-47.7202,,,,,7.69
164774,271.0383,-34.0531,,,,,7.03
164707,271.0736,-39.3812,,,,,8.28
164426,271.0973,-56.6446,,,,,8.71
164328,271.1090,-59.8759,,,,,8.21
164371,271.1115,-59.1779,,,,,7.04
164723,271.1367,-42.2234,,,,,8.39
164776,271.1571,-40.6376,,,,,7.19
164427,271.1780,-59.2096,,,,,6.88
164887,271.2027,-34.7296,,,,,8.27
164724,271.2046,-45.5837,,,,,7.65
164778,271.2079,-43.8402,,,,,8.71
164870,271.2099,-35.9014,,,,,5.98
164662,271.2147,-50.4407,,,,,8.19
164748,271.2238,-44.6622,,,,,8.46
164837,271.2379,-41.7857,,,,,9.71
164911,271.2542,-35.4146,,,,,8.32
164890,271.2893,-40.4479,,,,,9.31
164889,271.3010,-39.3424,,,,,9.82
164997,271.3075,-32.2598,,,,,8.55
164075,271.3417,-69.4747,,,,,8.99
164953,271.3530,-38.3816,,,,,8.73
164915,271.3651,-42.6378,,,,,9.05
164444,271.3781,-63.1942,,,,,7.82
164804,271.3865,-51.2594,,,,,8.41
164999,271.3871,-37.4718,,,,,6.84
164892,271.4012,-46.4072,,,,,9.06
165059,271.4014,-33.3114,,,,,9.05
164392,271.4033,-65.1653,,,,,8.39
165060,271.4279,-35.6799,,,,,8.27
165000,271.4340,-41.4320,,,,,8.36
165063,271.4357,-36.5795,,,,,7.46
165119,271.4513,-30.6394,,,,,9.15
165064,271.4678,-37.8205,,,,,9.98
165136,271.4783,-30.6605,,,,,8.24
164629,271.4792,-60.3020,,,,,9.39
321320,271.4818,-36.5997,,,,,10.21
318931,271.4838,-31.9225,,,,,9.25
165120,271.5009,-35.1086,,,,,8.92
164805,271.5110,-55.4639,,,,,8.43
165121,271.5194,-37.4331,,,,,7.64
164749,271.5225,-56.8217,,,,,7.77
164896,271.5384,-51.7439,,,,,6.46
165184,271.5464,-32.6658,,,,,8.58
165086,271.5517,-42.1789,,,,,9.81
165137,271.5523,-37.4992,,,,,7.61
165023,271.5856,-47.3659,,,,,8.28
165210,271.5863,-34.3151,,,,,7.99
165185,271.5988,-36.0198,,,,,5.94
164725,271.6099,-60.5332,,,,,7.81
165002,271.6128,-49.5136,,,,,8.06
164806,271.6231,-58.5709,,,,,6.82
165187,271.6446,-38.7572,,,,,8.89
165293,271.6473,-31.6541,,,,,8.5
165025,271.6480,-50.5242,,,,,8.62
165124,271.6518,-43.6275,,,,,7.91
165161,271.6546,-42.6067,,,,,8.5
165091,271.7025,-49.5391,,,,,8.7
165249,271.7290,-40.0754,,,,,8.71
165027,271.7293,-52.9672,,,,,7.83
165141,271.7510,-48.2473,,,,,7.11
165127,271.7824,-49.8138,,,,,7.76
164919,271.8159,-59.6091,,,,,8.41
165385,271.8387,-36.8736,,,,,8.25
165350,271.8428,-38.9758,,,,,8.24
165295,271.8439,-44.1571,,,,,8.48
165271,271.8592,-46.8988,,,,,7.64
165254,271.8677,-47.8035,,,,,8.94
321256,271.9085,-34.1331,,,,,9.2
165165,271.9135,-54.3390,,,,,8.93
165351,271.9181,-43.3921,,,,,7.45
165468,271.9209,-35.3890,,,,,8.78
164871,271.9515,-64.5502,,,,,6.4
165470,271.9765,-38.5654,,,,,7.36
