hd,ra,dec,flamsteed,bayer,const,propername,mag
12233,30.0530,6.9180,,,,,7.41
12252,30.0908,4.3895,,,,,7.09
12249,30.0947,10.6299,,,,,7.6
12202,30.1028,25.0521,,,,,7.89
12248,30.1318,19.1878,,,,,9.09
12211,30.1406,27.8887,,,,,8.86
12232,30.1744,29.9320,,,,,8.69
12307,30.1848,0.3629,,,,,9.42
12281,30.2042,13.3846,,,,,8.25
12273,30.2483,29.2384,,,,,7.71
12316,30.2820,12.8084,,,,,8.32
12343,30.2828,5.3368,,,,,7.97
12315,30.2906,16.5651,,,,,7.64
12306,30.2930,24.4444,,,,,7.47
12382,30.3662,0.4756,,,,,8.46
12367,30.3766,17.9539,,,,,7.24
12354,30.3891,23.3954,,,,,6.61
12355,30.4001,22.6282,,,,,8.45
12404,30.4141,1.3431,,,,,8.48
12415,30.4567,2.8714,,,,,8.57
12390,30.4600,15.0671,,,,,6.54
12414,30.4686,7.8644,,,,,7.06
12427,30.5248,12.1813,,,,,8.38
12413,30.5299,22.1041,,,,,7.21
12402,30.5330,28.4002,,,,,6.57
12445,30.5882,19.3899,,,,,8.39
12456,30.6041,12.6851,,,,,6.87
12484,30.6114,2.8159,,,,,8.18
12444,30.6166,21.3682,,,,,8.3
12455,30.6211,15.4954,,,,,8.06
12479,30.6462,13.4767,,,,,5.97
12483,30.6478,9.0817,,,,,7.38
12505,30.6765,7.7915,,,,,8.18
12513,30.6948,1.9383,,,,,7.55
12472,30.6990,28.7861,,,,,8.2
12504,30.7143,11.3723,,,,,8.83
12512,30.7399,11.0188,,,,,6.53
12537,30.7529,2.7624,,,,,8.07
12536,30.7572,3.3586,,,,,6.88
12549,30.7701,1.8466,,,,,8.58
12519,30.8703,26.5372,,,,,8.46
12559,30.8723,18.3276,,,,,8.42
12535,30.8869,27.4820,,,,,7.39
12548,30.8867,25.2005,,,,,8.26
12607,30.8895,1.6102,,,,,8.1
12572,30.9042,21.2809,,,,,9.2
12547,30.9208,27.0848,,,,,8.41
12594,30.9275,18.2532,,,,,6.24
12612,30.9855,14.1841,,,,,8.91
12582,30.9926,29.9049,,,,,8.25
12640,31.0006,8.0949,,,,,7.19
12625,31.0355,19.8959,,,,,9.38
12638,31.0882,25.9201,,,,,7.14
12662,31.1108,21.0333,,,,,8.94
12661,31.1429,25.4143,,,,,7.43
12730,31.2125,7.7357,,,,,6.44
12721,31.2228,11.4052,,,,,8.8
12736,31.2521,10.1160,,,,,7.04
12729,31.2780,19.1875,,,,,8.9
12728,31.3207,29.1041,,,,,7.82
12783,31.3297,0.3228,,,,,8.68
12773,31.3471,10.0769,,,,,7.01
