hd,ra,dec,flamsteed,bayer,const,propername,mag
12349,30.0255,-41.5434,,,,,8.66
12421,30.0322,-54.4229,,,,,8.82
12431,30.0703,-55.0128,,,,,6.51
12490,30.0777,-62.4207,,,,,9.15
12348,30.0811,-32.0873,,,,,7.86
12359,30.1168,-31.8338,,,,,8.7
12388,30.1170,-41.7757,,,,,7.16
12508,30.1248,-62.7625,,,,,7.66
12387,30.1335,-40.7312,,,,,7.37
12371,30.1398,-30.4243,,,,,8.91
12386,30.1413,-40.2678,,,,,8.33
12409,30.1592,-39.6647,,,,,8.72
12542,30.1808,-63.4077,,,,,9.37
12395,30.1960,-34.4208,,,,,9.16
12418,30.1986,-42.2576,,,,,9.29
12646,30.2106,-69.3129,,,,,8.99
12439,30.2205,-43.8311,,,,,8.16
12417,30.2292,-35.6569,,,,,9.13
12464,30.2475,-45.1953,,,,,9.97
12635,30.2499,-67.2026,,,,,9.16
12430,30.2904,-30.1672,,,,,8.4
12634,30.3006,-66.3488,,,,,7.49
12525,30.3083,-55.1447,,,,,8.1
12463,30.3280,-37.0812,,,,,9.91
12633,30.4058,-60.8772,,,,,8.85
12680,30.4589,-63.6227,,,,,6.88
12523,30.4590,-39.3165,,,,,8.49
12696,30.4640,-65.3961,,,,,9.08
12621,30.4764,-57.6871,,,,,8.97
12578,30.4793,-50.1272,,,,,7.8
12673,30.5040,-60.7074,,,,,9.54
12586,30.5446,-45.8355,,,,,7.71
12695,30.5502,-62.5920,,,,,8.06
12619,30.5640,-49.4092,,,,,7.28
12620,30.5686,-50.4925,,,,,8.23
12672,30.5842,-56.2459,,,,,8.29
12618,30.5870,-48.9032,,,,,8.38
12632,30.5914,-50.7396,,,,,9.77
12600,30.6266,-40.5203,,,,,7.86
12713,30.6371,-59.8437,,,,,9.03
12671,30.6459,-52.5326,,,,,8.49
12616,30.6535,-39.4197,,,,,8.73
12778,30.6751,-65.8843,,,,,7.93
12707,30.6781,-57.5947,,,,,8.85
12599,30.6849,-30.3218,,,,,8.03
12617,30.6876,-40.9509,,,,,9.02
12631,30.6930,-41.6346,,,,,8.49
12712,30.7436,-53.0360,,,,,7.28
12705,30.7639,-49.4917,,,,,8.1
12809,30.7797,-64.2345,,,,,8.41
12688,30.7957,-43.6077,,,,,9.32
12704,30.8860,-37.1999,,,,,8.29
12817,30.9312,-59.3888,,,,,8.69
12724,30.9414,-40.4691,,,,,8.69
12816,30.9732,-55.6614,,,,,8.4
12759,30.9799,-45.4129,,,,,7.3
12770,30.9994,-44.0001,,,,,8.89
12733,31.0005,-32.5186,,,,,7.86
12732,31.0061,-31.5644,,,,,9.91
12789,31.0269,-46.3747,,,,,8.89
12757,31.0697,-32.4911,,,,,9.47
12758,31.0745,-33.1567,,,,,9.72
12829,31.0745,-51.1537,,,,,9.14
12850,31.0746,-54.3549,,,,,8.26
12808,31.1024,-43.5077,,,,,7.81
12797,31.1060,-42.0677,,,,,9.27
12905,31.1274,-58.3444,,,,,7.7
12864,31.1308,-53.6530,,,,,9.14
12894,31.1462,-54.8817,,,,,6.45
12992,31.1475,-65.1368,,,,,7.27
12937,31.1536,-61.5201,,,,,9.29
12807,31.1721,-35.2733,,,,,7.7
12796,31.1737,-33.0838,,,,,8.78
12877,31.1887,-48.8628,,,,,8.78
12936,31.2182,-56.1702,,,,,9.51
12836,31.2424,-37.7991,,,,,10.05
13087,31.2564,-68.3008,,,,,8.15
12892,31.2793,-42.9816,,,,,9.78
12915,31.2802,-49.6818,,,,,7.71
12875,31.3089,-35.8192,,,,,9.52
12904,31.3108,-42.7141,,,,,8.79
12963,31.3255,-52.8834,,,,,9.6
13011,31.3467,-59.1665,,,,,8.74
12902,31.3503,-40.2877,,,,,8.62
12962,31.3724,-48.4906,,,,,7.81
12874,31.3748,-30.5923,,,,,9.4
12988,31.3751,-54.2551,,,,,9.21
13009,31.3924,-57.1442,,,,,9.69
12979,31.3976,-51.9912,,,,,7.47
13110,31.4116,-66.1392,,,,,9.05
12948,31.4303,-41.1807,,,,,8.51
13086,31.4512,-62.6890,,,,,9.79
12961,31.4553,-41.9283,,,,,9.77
13219,31.4845,-69.7188,,,,,9.28
12985,31.5443,-37.8113,,,,,8.76
12986,31.5599,-39.5389,,,,,7.08
13033,31.5760,-45.6966,,,,,9.33
13109,31.6185,-55.0829,,,,,7.02
13108,31.6361,-54.9265,,,,,8.86
13005,31.6412,-34.2054,,,,,9.6
13032,31.6545,-37.1187,,,,,7.53
13085,31.6718,-47.8026,,,,,9.5
13074,31.6717,-46.6079,,,,,9.38
13282,31.6896,-68.8610,,,,,10.41
13030,31.7063,-31.0622,,,,,9.09
13107,31.7252,-48.0364,,,,,9.31
13120,31.7345,-49.9803,,,,,9.27
13263,31.7455,-65.9458,,,,,6.71
13065,31.7488,-34.7538,,,,,7.85
13133,31.7496,-50.6381,,,,,8.36
13147,31.7924,-47.7985,,,,,9.21
13242,31.7978,-60.9831,,,,,7.51
13183,31.8251,-53.1990,,,,,8.64
13096,31.8325,-32.3237,,,,,9.11
13246,31.8586,-59.6794,,,,,7.5
13119,31.8700,-35.2685,,,,,9.48
13203,31.8961,-51.4365,,,,,9.6
13132,31.9191,-33.4541,,,,,9.21
13235,31.9296,-52.1544,,,,,9.82
13254,31.9327,-57.1947,,,,,7.88
13241,31.9943,-49.1152,,,,,8.8
13218,32.0237,-41.8804,,,,,6.5
13368,32.0311,-64.9941,,,,,8.75
13192,32.0453,-32.0463,,,,,9.37
13307,32.0583,-55.5261,,,,,7.6
13301,32.0885,-53.4911,,,,,8.52
13262,32.0956,-46.3731,,,,,8.98
13280,32.1609,-43.2673,,,,,8.81
13290,32.1740,-44.4919,,,,,8.46
13400,32.1974,-61.4367,,,,,9.05
13279,32.2049,-35.8230,,,,,7.84
13289,32.2263,-35.7921,,,,,8.28
13278,32.2369,-31.7454,,,,,7.02
13337,32.2504,-46.3700,,,,,8.82
13336,32.2888,-43.5166,,,,,5.84
13300,32.3018,-31.8091,,,,,7.77
13361,32.3759,-41.3873,,,,,8.23
13388,32.3907,-45.4668,,,,,7.38
13377,32.3988,-42.9566,,,,,9.91
13390,32.4005,-46.0072,,,,,9.37
13426,32.4034,-53.2760,,,,,8.07
13397,32.4091,-48.5991,,,,,7.74
13351,32.4165,-31.5943,,,,,9.97
13350,32.4353,-30.7462,,,,,8.94
13424,32.4383,-51.7309,,,,,6.93
13387,32.4519,-40.8665,,,,,6.49
13538,32.4737,-62.2663,,,,,8.12
13410,32.5180,-37.3801,,,,,8.51
13423,32.5200,-43.8156,,,,,6.32
13578,32.5332,-64.3551,,,,,7.5
13386,32.5334,-31.0699,,,,,8.91
13551,32.5346,-60.7581,,,,,9.32
13517,32.5392,-56.1708,,,,,9.81
13570,32.5645,-61.0970,,,,,7.82
13463,32.5704,-45.6259,,,,,8.6
13472,32.5767,-46.4411,,,,,8.57
13527,32.5833,-54.6654,,,,,9.35
13528,32.5888,-55.8911,,,,,9.1
13445,32.6051,-50.8237,,,,,6.12
13490,32.6252,-45.4470,,,,,7.2
13422,32.6280,-30.7943,,,,,8.31
13515,32.6392,-48.0945,,,,,7.83
13516,32.6443,-48.8896,,,,,8.55
13461,32.6472,-35.5102,,,,,7.8
13488,32.6591,-42.4559,,,,,9.62
13462,32.6668,-38.3672,,,,,7.96
13619,32.6703,-61.1440,,,,,8.7
13501,32.6843,-42.4199,,,,,9.19
13487,32.7118,-39.1369,,,,,8.86
13629,32.7212,-59.4775,,,,,8.9
13604,32.7219,-56.8479,,,,,9.39
13471,32.7269,-32.0619,,,,,7.65
13537,32.7300,-43.8070,,,,,8.89
13513,32.7593,-35.6708,,,,,10.15
13668,32.7886,-59.1519,,,,,7.24
13588,32.8195,-46.5850,,,,,7.92
13667,32.8326,-58.0174,,,,,9.07
13603,32.8493,-47.5912,,,,,8.68
13602,32.8697,-45.3510,,,,,8.52
13618,32.8706,-49.3314,,,,,8.05
13559,32.8835,-33.9438,,,,,8.58
13601,32.8997,-41.8696,,,,,9.33
13617,32.9183,-43.5776,,,,,8.88
13569,32.9300,-31.3985,,,,,9.14
13696,32.9514,-54.0487,,,,,7.74
13666,32.9763,-47.1704,,,,,6.82
13616,33.0050,-32.3288,,,,,8.75
13615,33.0055,-32.2876,,,,,7.97
13827,33.0079,-65.7741,,,,,8.34
13639,33.0611,-32.8523,,,,,9.53
13724,33.0862,-46.8164,,,,,7.89
13710,33.1048,-44.3682,,,,,8.34
13823,33.1096,-61.6513,,,,,8.08
13878,33.1281,-64.2961,,,,,9.23
13781,33.1670,-52.4860,,,,,9.11
13926,33.1770,-66.1544,,,,,7.26
13808,33.1790,-53.7439,,,,,8.36
13755,33.1962,-44.4890,,,,,7.84
13852,33.2081,-59.2894,,,,,8.54
13742,33.2106,-41.2652,,,,,8.52
13780,33.2141,-49.0547,,,,,9.8
13723,33.2165,-34.5387,,,,,7.01
13753,33.2505,-40.0057,,,,,8.68
13779,33.3122,-36.4113,,,,,8.79
13897,33.3163,-59.5670,,,,,8.9
13778,33.3243,-36.0611,,,,,7.41
13794,33.3770,-33.3353,,,,,7.07
13906,33.3897,-57.3450,,,,,8.5
13851,33.4017,-48.4169,,,,,9.77
13862,33.4235,-47.7806,,,,,8.34
14101,33.4992,-66.7939,,,,,9.12
13925,33.5302,-47.3849,,,,,8.27
13889,33.5446,-41.7130,,,,,9.55
14090,33.5568,-63.7957,,,,,7.83
13949,33.5768,-49.8624,,,,,9.73
13887,33.5856,-37.1077,,,,,9.04
13875,33.5864,-31.3218,,,,,9.41
14182,33.5951,-69.4870,,,,,9.33
14079,33.6294,-60.1615,,,,,9.1
13940,33.6331,-41.1668,,,,,5.91
13894,33.6339,-35.1737,,,,,9.06
13964,33.6621,-44.5612,,,,,8.94
13947,33.6869,-40.7000,,,,,8.99
13946,33.6998,-37.5329,,,,,7.46
14078,33.7170,-54.4529,,,,,9.21
14122,33.7249,-59.8577,,,,,8.85
14100,33.7454,-56.9211,,,,,8.87
14007,33.7477,-43.5548,,,,,8.74
14005,33.7769,-39.7920,,,,,9.13
14089,33.7863,-51.4826,,,,,9.2
13992,33.7970,-35.1178,,,,,8.25
14004,33.8077,-36.3204,,,,,8.12
13991,33.8184,-32.4662,,,,,8.26
14112,33.8542,-50.8872,,,,,7.9
14057,33.8550,-41.0690,,,,,6.99
14121,33.8574,-52.2681,,,,,9.37
14036,33.8783,-33.7645,,,,,8.69
14088,33.8883,-43.6749,,,,,8.79
14151,33.9309,-52.2067,,,,,7.29
14133,33.9619,-44.7376,,,,,9.15
