hd,ra,dec,flamsteed,bayer,const,propername,mag
224834,0.2691,-48.8099,,τ,Phe,,5.71
224889,0.3992,-77.0657,,θ,Oct,,4.78
224926,0.4560,-3.0275,29,,Psc,,5.13
224935,0.4901,-6.0141,30,,Psc,,4.37
224930,0.5421,27.0823,85,,Peg,,5.8
224990,0.5830,-29.7204,,ζ,Scl,,5.04
224995,0.6007,8.9568,31,,Psc,,6.33
225003,0.6238,8.4855,32,,Psc,,5.7
225132,0.9350,-17.3360,2,,Cet,,4.55
225180,1.0569,62.2877,9,,Cas,,5.9
225212,1.1255,-10.5095,3,,Cet,,4.99
28,1.3339,-5.7076,33,,Psc,,4.61
87,1.4248,13.3963,86,,Peg,,5.55
144,1.6105,64.1962,10,,Cas,,5.57
358,2.0969,29.0904,,α,And,Alpheratz,2.07
448,2.2601,18.2120,87,,Peg,,5.57
432,2.2933,59.1498,,β,Cas,Caph,2.28
493,2.3378,-27.9879,,κ¹,Scl,,5.42
496,2.3525,-45.7474,,ε,Phe,,3.88
560,2.5092,11.1458,34,,Psc,,5.54
636,2.5094,-82.2240,,γ³,Oct,,5.29
571,2.5802,46.0723,22,,And,,5.01
693,2.8161,-15.4680,6,,Cet,,4.89
720,2.8934,-27.7997,,κ²,Scl,,5.41
739,2.9333,-35.1331,,θ,Scl,,5.24
886,3.3090,15.1836,,γ,Peg,Algenib,2.83
905,3.3786,41.0354,23,,And,,5.71
1013,3.6507,20.2067,,χ,Peg,,4.79
1038,3.6601,-18.9329,7,,Cet,,4.44
1061,3.7452,8.8210,35,,Psc,,6.02
1227,4.1418,8.2402,36,,Psc,,6.12
1243,4.1902,13.9168,37,,Psc,,7.46
1280,4.2729,38.6816,,θ,And,,4.61
1317,4.3523,8.8765,38,,Psc,,6.66
1352,4.4582,16.3310,39,,Psc,,7.21
1404,4.5819,36.7852,,σ,And,,4.51
1438,4.6757,43.7911,26,,And,,6.1
1522,4.8570,-8.8239,,ι,Cet,,3.56
1563,4.9845,16.2509,40,,Psc,,6.6
1581,5.0121,-64.8748,,ζ,Tuc,,4.23
1635,5.1494,8.1903,41,,Psc,,5.38
1685,5.1627,-69.6249,,π,Tuc,,5.5
1671,5.2803,37.9686,,ρ,And,,5.16
1737,5.3800,-28.9815,,ι,Scl,,5.18
1796,5.6062,13.4825,42,,Psc,,6.25
1835,5.7158,-12.2094,9,,Cet,,6.39
2035,6.1590,14.3155,43,,Psc,,6.48
2011,6.1979,61.8311,12,,Cas,,5.38
2114,6.3509,1.9397,44,,Psc,,5.77
2151,6.4187,-77.2542,,β,Hyi,,2.82
2140,6.4246,7.6911,45,,Psc,,6.77
2262,6.5507,-43.6798,,κ,Phe,,3.93
2261,6.5708,-42.3060,,α,Phe,Ankaa,2.4
2273,6.6559,-0.0495,10,,Cet,,6.16
2429,6.9821,-33.0072,,η,Scl,,4.86
2410,6.9936,19.5140,46,,Psc,,6.4
2411,7.0121,17.8931,47,,Psc,,5.01
2436,7.0529,16.4451,48,,Psc,,6.05
2629,7.4806,-1.1177,11,,Cet,,7.46
2637,7.5098,-3.9573,12,,Cet,,5.72
2628,7.5307,29.7516,28,,And,,5.2
2714,7.6965,16.0376,49,,Psc,,6.83
2834,7.8539,-48.8035,,λ¹,Phe,,4.76
2729,7.8550,66.5196,13,,Cas,,6.18
2884,7.8859,-62.9582,,β¹,Tuc,,4.36
2885,7.8892,-62.9656,,β²,Tuc,,4.53
2772,7.9431,54.5223,,λ,Cas,,4.74
2913,8.0991,6.9555,51,,Psc,,5.69
2910,8.1478,20.2943,52,,Psc,,5.38
3003,8.1827,-63.0315,,β³,Tuc,,5.07
2905,8.2500,62.9318,,κ,Cas,,4.17
3112,8.3469,-71.2662,,θ,Tuc,,6.11
3038,8.6037,66.7504,16,,Cas,,6.47
3196,8.8120,-3.5928,13,,Cet,,5.2
3229,8.8868,-0.5056,14,,Cet,,5.94
3302,8.9215,-48.0009,,λ²,Phe,,5.51
3379,9.1971,15.2317,53,,Psc,,5.89
3369,9.2202,33.7193,,π,And,,4.34
3360,9.2428,53.8969,,ζ,Cas,,3.69
3512,9.5189,-0.5035,15,,Cet,,6.64
3546,9.6390,29.3118,,ε,And,,4.34
3627,9.8319,30.8610,,δ,And,,3.27
3651,9.8409,21.2505,54,,Psc,,5.88
3690,9.9815,21.4385,55,,Psc,,5.36
3712,10.1267,56.5373,,α,Cas,Shedir,2.24
3817,10.2799,39.4587,32,,And,,5.3
3919,10.3315,-46.0850,,μ,Phe,,4.59
3980,10.4431,-56.5013,,ξ,Phe,,5.72
3901,10.5162,50.5125,,ξ,Cas,,4.8
4089,10.6180,-65.4680,,ρ,Tuc,,5.38
4065,10.6787,-38.4635,,λ¹,Scl,,6.05
4150,10.8385,-57.4631,,η,Phe,,4.36
4058,10.8670,47.0245,,π,Cas,,4.95
4128,10.8973,-17.9866,,β,Cet,Diphda,2.04
4188,11.0475,-10.6096,,φ¹,Cet,,4.77
4211,11.0502,-38.4217,,λ²,Scl,,5.9
4180,11.1813,48.2844,,ο,Cas,,4.48
4307,11.3695,-12.8808,18,,Cet,,6.15
4161,11.4129,74.9881,21,,Cas,,5.64
4408,11.6373,15.4755,57,,Psc,,5.36
4482,11.7561,11.9738,58,,Psc,,5.51
4490,11.8068,19.5787,59,,Psc,,6.11
4502,11.8347,24.2672,,ζ,And,,4.08
4526,11.8485,6.7410,60,,Psc,,5.98
4382,11.9418,74.8476,23,,Cas,,5.42
4568,11.9784,20.9253,61,,Psc,,6.51
4627,12.0725,7.2999,62,,Psc,,5.92
4815,12.1467,-74.9234,,λ,Hyi,,5.09
4656,12.1706,7.5851,,δ,Psc,,4.44
4636,12.2084,50.9682,,ν,Cas,,4.9
4676,12.2446,16.9406,64,,Psc,,5.07
4614,12.2739,57.8152,,η,Cas,,3.46
4727,12.4535,41.0789,,ν,And,,4.53
4757,12.4715,27.7103,65,,Psc,,5.55
4813,12.5316,-10.6443,,φ²,Cet,,5.17
4919,12.6715,-50.9868,,ρ,Phe,,5.24
5190,13.1022,-69.5038,,λ¹,Tuc,,6.67
5112,13.2521,-1.1443,20,,Cet,,4.78
5015,13.2677,61.1240,,,,,4.8
5268,13.5733,-8.7407,21,,Cet,,6.15
5267,13.6468,19.1884,66,,Psc,,5.8
5286,13.7421,23.6283,36,,And,,5.46
5234,13.7507,58.9727,,υ¹,Cas,,4.83
5457,13.7513,-69.5271,,λ²,Tuc,,5.45
5382,13.9938,27.2094,67,,Psc,,6.08
5437,14.0062,-11.2665,,φ³,Cet,,5.35
5395,14.1665,59.1811,,υ²,Cas,,4.62
5394,14.1771,60.7167,,γ,Cas,Cih,2.15
5448,14.1883,38.4993,,μ,And,,3.86
5516,14.3017,23.4176,,η,And,,4.4
5575,14.4590,28.9922,68,,Psc,,5.44
5737,14.6515,-29.3574,,α,Scl,,4.3
5722,14.6828,-11.3800,,φ⁴,Cet,,5.62
6055,15.3261,-38.9165,,ξ,Scl,,5.59
6192,15.5076,-57.0024,,ω,Phe,,6.12
6077,15.5285,7.9405,70,,Psc,,7.55
6178,15.6101,-31.5520,,σ,Scl,,5.5
6118,15.7046,31.8043,,σ,Psc,,5.5
6116,15.7261,41.3452,39,,And,,5.95
6186,15.7359,7.8901,,ε,Psc,,4.27
6203,15.7606,-4.8366,25,,Cet,,5.4
6288,15.9543,1.3668,26,,Cet,,6.06
6386,16.2193,5.6563,73,,Psc,,6.03
6397,16.2723,14.9461,72,,Psc,,5.64
6482,16.4037,-9.9793,27,,Cet,,6.09
6456,16.4206,21.4732,,ψ¹,Psc,,5.33
6457,16.4238,21.4654,,ψ¹,Psc,,5.55
6479,16.4551,4.9084,77,,Psc,,6.35
6480,16.4643,4.9094,77,,Psc,,7.26
6595,16.5211,-46.7184,,β,Phe,,3.32
6530,16.5214,-9.8394,28,,Cet,,5.58
6476,16.5467,32.1815,76,,Psc,,6.28
6557,16.6401,12.9560,75,,Psc,,6.14
6793,16.8276,-61.7753,,ι,Tuc,,5.36
6706,16.9425,-9.7856,30,,Cet,,5.71
6767,16.9494,-41.4869,,υ,Phe,,5.21
6695,16.9882,20.7391,,ψ²,Psc,,5.56
6734,16.9986,1.9930,29,,Cet,,6.44
6658,17.0034,43.9421,41,,And,,5.04
6680,17.0055,32.0121,78,,Psc,,6.23
6582,17.0622,54.9203,,μ,Cas,,5.17
6763,17.0925,5.6498,80,,Psc,,5.51
6882,17.0961,-55.2458,,ζ,Phe,,3.94
6805,17.1475,-10.1823,,η,Cet,,3.46
5848,17.1842,86.2571,,,,,4.24
6811,17.3755,47.2418,,φ,And,,4.26
6860,17.4329,35.6206,,β,And,Mirach,2.07
6903,17.4550,19.6584,,ψ³,Psc,,5.57
6976,17.5498,-8.9061,32,,Cet,,6.4
6920,17.5782,42.0815,44,,And,,5.67
7014,17.6398,2.4457,33,,Cet,,5.97
6829,17.6637,68.7786,31,,Cas,,5.32
6961,17.7753,55.1499,,θ,Cas,,4.34
7034,17.7782,31.4247,82,,Psc,,5.15
7019,17.7928,37.7241,45,,And,,5.8
7087,17.8634,21.0346,,χ,Psc,,4.66
7106,17.9151,30.0896,,τ,Psc,,4.51
6972,17.9224,65.0189,32,,Cas,,5.57
7147,17.9313,-2.2511,34,,Cet,,5.93
7218,18.1277,2.4716,35,,Cet,,6.55
7268,18.1988,-6.7834,36,,Cet,,6.59
7344,18.4329,7.5754,,ζ,Psc,,5.21
7318,18.4373,24.5837,,φ,Psc,,4.67
7345,18.4386,7.5783,,ζ,Psc,,6.44
7374,18.5318,16.1335,87,,Psc,,5.97
7439,18.6002,-7.9228,37,,Cet,,5.14
7446,18.6766,6.9951,88,,Psc,,6.04
7476,18.7049,-0.9738,38,,Cet,,5.7
7570,18.7956,-45.5317,,ν,Phe,,4.97
7788,18.9406,-68.8759,,κ,Tuc,,4.25
7672,19.1512,-2.5004,39,,Cet,,5.42
7727,19.2459,-2.2792,40,,Cet,,6.52
7812,19.4265,-7.6595,41,,Cet,,6.8
7804,19.4498,3.6145,89,,Psc,,5.13
7964,19.8666,27.2641,,υ,Psc,,4.74
8036,19.9512,-0.5090,42,,Cet,,5.87
7927,20.0205,58.2316,,φ,Cas,,4.95
8003,20.2718,64.6581,35,,Cas,,6.33
8126,20.2807,28.7382,91,,Psc,,5.23
8207,20.5851,45.5288,,ξ,And,,4.87
8335,20.6451,-0.4497,43,,Cet,,6.5
8374,20.9192,37.7149,47,,And,,5.6
8442,20.9619,17.8183,92,,Psc,,6.59
8512,21.0058,-8.1833,,θ,Cet,,3.6
8511,21.0106,-8.0074,44,,Cet,,6.21
8705,21.4051,-14.5988,46,,Cet,,4.9
8538,21.4532,60.2353,,δ,Cas,Ruchbah,2.66
8491,21.4831,68.1300,,ψ,Cas,,4.72
8723,21.5636,19.1723,,ρ,Psc,,5.35
8763,21.6736,19.2404,94,,Psc,,5.5
8829,21.7149,-13.0565,47,,Cet,,5.51
8799,21.9137,45.4067,,ω,And,,4.83
8875,21.9159,5.3528,95,,Psc,,7.01
9053,22.0914,-43.3182,,γ,Phe,,3.41
9024,22.2629,7.2941,96,,Psc,,6.54
9132,22.4006,-21.6293,48,,Cet,,5.11
9100,22.4703,18.3557,97,,Psc,,6.01
9057,22.5254,47.0073,49,,And,,5.27
9138,22.5463,6.1438,,μ,Psc,,4.84
9021,22.8067,70.2646,38,,Cas,,5.82
9362,22.8128,-49.0727,,δ,Phe,,3.93
9270,22.8709,15.3458,,η,Psc,,3.62
9408,23.4829,59.2320,,χ,Cas,,4.68
9672,23.6574,-15.6764,49,,Cet,,5.62
9656,23.7151,12.5586,100,,Psc,,7.28
9766,23.9435,14.6614,101,,Psc,,6.23
9856,23.9957,-15.4002,50,,Cet,,5.41
9906,24.0354,-29.9073,,τ,Scl,,5.69
9826,24.1995,41.4055,,υ,And,,4.1
9919,24.2746,12.1415,,π,Psc,,5.54
10144,24.4283,-57.2368,,α,Eri,Achernar,0.45
9927,24.4981,48.6282,51,,And,,3.59
9774,24.6289,73.0400,40,,Cas,,5.28
10113,24.8134,16.6255,103,,Psc,,6.74
10135,24.8143,14.2856,104,,Psc,,6.74
10072,24.8375,44.3862,,χ,And,,5.01
10164,24.9201,16.4059,105,,Psc,,5.98
10205,25.1451,40.5770,,τ,And,,4.96
10859,25.3388,-79.1482,,τ¹,Hyi,,6.33
10380,25.3579,5.4876,,ν,Psc,,4.45
10307,25.4457,42.6134,,,,,4.96
